SN,Category,Group,Code,Activity Name ,Third Party,When,Risk Rating,Industry Risk,DNFBP,Notes,Description,Related Business Activities,Generated Keywords,,,,,
11,Manufacturing,181,1810,Printing And Service Activities Related To Printing,,N/A,Low,,,,"This group includes printing of products, such as newspapers, books, periodicals, business forms, greeting cards, and other materials, and associated support activities, such 
as bookbinding, plate-making services, and data imaging. Printing can be done using 
various techniques and on different materials",-,"printing services, print manufacturing, book printing, newspaper printing, business forms printing, greeting card printing, plate-making services, bookbinding services",,,,,
12,Manufacturing,,1811,Printing,,N/A,Low,,,,,-,"printing, print manufacturing, print production, printing services, commercial printing, digital printing, offset printing, printing press",,,,,
13,Manufacturing,,1811.01,"Printing Of Newspapers, Magazines And Other Periodicals, Books And Brochures, Music And Music Manuscripts, Maps, Atlases, Posters, Advertising Catalogues, Prospectuses And Other Printed Advertising, Postage Stamps, Taxation Stamps, Documents Of Title, Cheques And Other Security Papers.",UAE Media Council (UAEMC),PRE,Low,,,,,-,"newspaper printing, magazine production, brochure printing, book manufacturing, printing services, advertising printing, map printing, security paper production",,,,,
14,Manufacturing,,1811.02,"Printing Directly Onto Textiles, Plastic, Glass, Metal, Wood And Ceramics (Except Silkscreen Printing On Textiles And Wearing Apparel)",,N/A,Low,,,,,-,"textile printing, direct printing on fabric, printing on plastic, glass printing services, metal printing, wood printing, ceramic printing, custom printing solutions",,,,,
15,Manufacturing,,1811.03,"Printing On Labels Or Tags (Lithographic, Gravure Printing, Flexographic Printing, Other)",,N/A,Low,,,,,-,"label printing, tag printing, lithographic printing, gravure printing, flexographic printing, label manufacturing, tag production, custom labels",,,,,
16,Manufacturing,,1811.04,"Printing Of Diaries, Calendars, Business Forms And Other Commercial Printed Matter, Personal Stationery And Other Printed Matter By Letterpress, Offset, Photogravure, Flexographic And Other Printing Presses, Duplication Machines, Computer Printers, Embossers Etc.",,N/A,Low,,,,,-,"printing services, diary printing, calendar manufacturing, business forms printing, commercial printing, stationery printing, offset printing, flexographic printing, letterpress printing, photogravure printing, custom printed materials, print production, printing press services, personalized stationery",,,,,
17,Manufacturing,,1812,Service Activities Related To Printing,,N/A,Low,,,,,-,"printing services, print production, printing manufacturing, print shop, graphic printing, digital printing, custom printing, print solutions",,,,,
18,Manufacturing,,1812.08,Artistic Work Including Preparation Of Litho Stones And Prepared Woodblocks,,N/A,Low,,,,,-,"artistic manufacturing, lithography, woodblock printing, litho stone preparation, printmaking, artistic production, woodblock preparation, litho art production",,,,,
19,Manufacturing,,1812.1,"Design Of Printing Products E.G. Sketches, Layouts, Dummies Etc.",,N/A,Low,,,,,-,"printing design, print product manufacturing, sketch design, layout creation, dummy production, graphic design, printed materials design, print media manufacturing",,,,,
20,Manufacturing,,1812.97,Design & Artwork Services,,N/A,Low,,,,"Includes providing a wide range of design and artworks to firms engaged in printing and publishing. This includes designing  books, magazine covers, stamps, greeting cards and brochures, the process may take the traditional for modern techniques.",-,"design services, artwork creation, graphic design, print design, book cover design, brochure design, custom artwork, publishing design",,,,,
21,Manufacturing,331,3310,"Repair Of Fabricated Metal Products, Machinery And Equipment",,N/A,Low,,,,"This group includes the specialized repair of goods produced in the manufacturing sector 
with the aim to restore these metal products, machinery, equipment and other products 
to working order. The provision of general or routine maintenance (i.e. servicing) on such 
products to ensure they work efficiently and to prevent breakdown and unnecessary 
repairs is included.",-,"metal product repair, machinery maintenance, equipment servicing, fabricated metal restoration, machinery repair services, industrial equipment repair, metalworking maintenance, manufacturing equipment servicing",,,,,
22,Manufacturing,,3311,Repair Of Fabricated Metal Products,,N/A,Low,,,,,-,"metal fabrication repair, fabricated metal products repair, metal products manufacturing, metalwork repair, steel fabrication services, metal repair services, welding and fabrication, custom metalwork repair",,,,,
23,Manufacturing,,3312,Repair Of Machinery,,N/A,Low,,,,,-,"machinery repair, equipment maintenance, machine servicing, industrial machinery fixing, manufacturing equipment repair, machine overhaul, mechanical repair, production machinery maintenance",,,,,
24,Manufacturing,,3312.01,Repair And Maintenance Of Industrial Machinery And Equipment,,N/A,Low,,,,,-,"industrial machinery repair, equipment maintenance, machinery servicing, industrial equipment repair, machine repair services, manufacturing equipment maintenance, factory machinery repair, industrial equipment servicing",,,,,
25,Manufacturing,,3312.02,"Repair And Maintenance Of Non-Automotive Engines, E.G. Ship Or Rail Engines",,N/A,Low,,,,,-,"engine repair, non-automotive engine maintenance, ship engine servicing, rail engine repair, marine engine maintenance, locomotive engine servicing, engine manufacturing, industrial engine repair",,,,,
26,Manufacturing,,3312.03,Repair And Maintenance Of Pumps And Related Equipment,,N/A,Low,,,,,-,"pump repair, pump maintenance, pump servicing, pump equipment repair, hydraulic equipment maintenance, pumping systems service, industrial pump repair, pump manufacturing",,,,,
27,Manufacturing,,3314,Repair Of Electrical Equipment,,N/A,Low,,,,,-,"electrical equipment repair, electronics servicing, electrical device maintenance, appliance repair, electrical equipment manufacturing, circuit repair, electronic equipment fixing, electrical device production",,,,,
28,Manufacturing,,3314.01,"Repair And Maintenance Of Power, Distribution, And Specialty Transformers",,N/A,Low,,,,,-,"transformer repair, power transformer maintenance, distribution transformer service, specialty transformer manufacturing, electrical transformer repair, transformer refurbishing, power distribution maintenance, transformer servicing",,,,,
29,Manufacturing,,3314.02,"Repair And Maintenance Of Electric Motors, Generators, And Motor Generator Sets",,N/A,Low,,,,,-,"electric motor repair, generator maintenance, motor generator sets service, electric motor servicing, generator repair, motor maintenance, industrial motor repair, electric machinery upkeep",,,,,
30,Manufacturing,,3314.03,Repair And Maintenance Of Switchgear And Switchboard Apparatus,,N/A,Low,,,,,-,"switchgear repair, switchboard maintenance, electrical apparatus service, switchgear manufacturing, switchboard repair services, electrical panel maintenance, switchgear production, switchboard apparatus repair",,,,,
31,Manufacturing,,3314.04,Repair And Maintenance Of Relays And Industrial Controls,,N/A,Low,,,,,-,"relay repair, industrial controls maintenance, relay maintenance, control systems servicing, electrical relay service, industrial control repair, automation control maintenance, relay and control system repair",,,,,
32,Manufacturing,,3314.05,Repair And Maintenance Of Primary And Storage Batteries,,N/A,Low,,,,,-,"battery repair, battery maintenance, storage battery servicing, primary battery manufacturing, rechargeable battery production, battery refurbishment, battery workshop, lead-acid battery repair",,,,,
33,Manufacturing,,3314.06,Repair And Maintenance Of Electric Lighting Equipment,,N/A,Low,,,,,-,"electric lighting repair, lighting maintenance, electrical equipment service, light fixture repair, lamp maintenance, illumination equipment manufacturing, lighting system servicing, electric light production",,,,,
34,Manufacturing,,3314.07,Repair And Maintenance Of Current-Carrying Wiring Devices And Non Current-Carrying Wiring Devices For Wiring Electrical Circuits,,N/A,Low,,,,,-,"wiring device repair, electrical circuit maintenance, current-carrying device manufacturing, non-current-carrying wiring repair, electrical wiring production, wiring device servicing, circuit wiring maintenance, electrical device manufacturing",,,,,
35,Manufacturing,,3315.87,Ships & Boats Maintenance Services,The Dubai Maritime Authority (DMA),PRE,Low,,,,"Includes firms that carry out ships and boats maintenance as regarding re-painting and cleaning, as well as other simple operations which do not include reparations or total maintenance, which are classified under Class 3512.",-,"ships maintenance, boat maintenance, vessel upkeep, marine cleaning services, boat repair service, ship painting, yacht maintenance, maritime maintenance",,,,,
36,Manufacturing,,3315.88,Ships & Boats Repairing,The Dubai Maritime Authority (DMA),PRE,Low,,,,"Includes the reparation of vessels, wooden ships, yachts, sports boats, fishing ships and boats…etc. also, re-building, renovation, full maintenance, including refitting or replacement of motors and parts.",-,"ships repair, boat maintenance, yacht refurbishment, vessel renovation, marine repair services, boats servicing, shipbuilding, nautical repairs",,,,,
37,Manufacturing,,3315.92,Aircraft Engine & Parts Repair & Overhaul,Dubai Civil Aviation Authority (DCAA),PRE,High,,,,"Includes repairing, maintaining, testing and calibrating all kinds of aircrafts engines and spare parts.",-,"aircraft engine repair, aircraft parts overhaul, engine maintenance, aircraft component repair, jet engine servicing, aircraft spare parts manufacturing, aircraft engine testing, aviation parts calibration",,,,,
38,Manufacturing,,3315.94,Aircraft Seats Upholstery,Dubai Civil Aviation Authority (DCAA),PRE,Low,,,,"Includes providing aircrafts seats with padding, springs, webbing, and fabric covers.
",-,"aircraft seats upholstery, airplane seat covers, aircraft seating manufacturing, seat padding production, upholstery for aircraft, aviation seat upholstery, aircraft interior textiles, airline seat design",,,,,
39,Manufacturing,,3315.96,Passengers & Cargo Aircrafts Repair,Dubai Civil Aviation Authority (DCAA),PRE,High,,,,,-,"aircraft repair, airplane maintenance, cargo aircraft servicing, passenger aircraft refurbishment, aircraft manufacturing, plane repair services, aviation repair, aircraft maintenance and repair",,,,,
40,Manufacturing,,3315.97,Helicopters Repair & Maintenance,Dubai Civil Aviation Authority (DCAA),PRE,High,,,,"Includes firms engaged in maintaining and repairing helicopters to ensure their airworthiness, involving performing the overhaul, engine repairs and upgrades, customizations and restorations, avionics upgrades.",-,"helicopter repair, helicopter maintenance, rotorcraft servicing, aviation maintenance, helicopter overhaul, aircraft repair, avionics upgrades, helicopter restoration",,,,,
41,Manufacturing,,3315.99,Light Aircrafts Maintenance & Repair,Dubai Civil Aviation Authority (DCAA),PRE,Medium,,,,"Includes firms engaged in maintaining and repairing commercial small and light aircrafts, which are capable to sustain a maximum total weight (MTOW) of LB 125 at overtaking, involves helicopters and unmanned aircraft (Drones) and/or any other modes of aerial vehicles.""",-,"light aircraft maintenance, small aircraft repair, helicopter servicing, drone maintenance, aviation repair services, aircraft upkeep, aerial vehicle maintenance, aircraft manufacturing",,,,,
42,Manufacturing,,3319.95,Marine Equipment Repairing & Maintenance,The Dubai Maritime Authority (DMA),PRE,Low,,,,,-,"marine equipment repair, boat maintenance, vessel servicing, marine machinery fixing, ship equipment maintenance, yacht repair, maritime equipment manufacturing, nautical equipment servicing",,,,,
43,Manufacturing,,3319.97,Medical & Laboratory Equipment Repair,,N/A,Low,,,,,-,"medical equipment repair, laboratory equipment maintenance, medical device servicing, lab instrument repair, healthcare equipment fixing, biomedical equipment repair, diagnostic equipment maintenance, medical apparatus repair",,,,,
44,Manufacturing,332,3320,Installation Of Industrial Machinery And Equipment,,N/A,Low,,,,"This class includes the specialized installation of machinery. However, the installation of 
equipment that forms an integral part of buildings or similar structures, such as installation of escalators, electrical wiring, burglar alarm systems or air-conditioning systems, is 
classified as construction.",-,"industrial machinery installation, equipment setup, machinery assembly, factory equipment installation, industrial equipment setup, machinery installation service, manufacturing machinery installation, industrial equipment assembly",,,,,
45,Manufacturing,,3320.01,Installation Of Industrial Machinery In Industrial Plant,,N/A,Low,,,,,-,"plant machinery setup, industrial installation, factory equipment",,,,,
46,Manufacturing,,3320.02,Installation Of Industrial Process Control Equipment,,N/A,Low,,,,,-,"industrial control systems installation, process automation equipment, manufacturing control equipment, industrial equipment setup, control system installation, process control technology, manufacturing process equipment, automation systems installation",,,,,
47,Manufacturing,,3320.03,"Installation Of Other Industrial Equipment, E.G.:
 • Communications Equipment
 • Mainframe And Similar Computers
 • Irradiation And Electromedical Equipment Etc.",,N/A,Low,,,,,-,"industrial equipment installation, communications equipment setup, mainframe installation, electromedical equipment assembly, industrial machinery installation, equipment manufacturing, industrial device installation, industrial equipment assembly",,,,,
48,Manufacturing,,3320.04,Dismantling Large-Scale Machinery And Equipment,,N/A,Low,,,,,-,"dismantling machinery, equipment disassembly, large equipment removal, heavy machinery dismantling, industrial equipment teardown, machinery recycling, factory equipment dismantling, machinery salvage",,,,,
49,Manufacturing,,3320.06,Machine Rigging,,N/A,Low,,,,,-,"machine rigging, machinery installation, equipment rigging, rigging services, heavy lifting, rigging and hoisting, industrial rigging, rigging contractors",,,,,
50,Sewerage,370,3700,Sewerage (Not available for selection),,,,,,,"It includes the operation of sewer systems or sewage treatment facilities that 
collect, treat, and dispose of sewage.",-,"sewer system, sewage treatment, waste water management, sewage disposal, sewer services, sewage infrastructure, effluent treatment, drain management",,,,,
51,Sewerage,,3700.92,Transport of sewage Water using Pumping Tankers,Roads and Transport Authority (RTA),PRE,Low,,,,"Includes firms which undertake sucking up and draining the sewage, rain, waste excessive waters by the tank vehicles, and transporting these waters to places where they can be used, refined or disposed of.",-,"sewage transport, sewage tanker service, wastewater removal, sewage pumping, waste water transport, effluent disposal, liquid waste transport, tanker services for sewage",,,,,
52,Waste Collection,381,3811,Collection of non-hazardous waste (Not available for selection),,,,,,,"This group includes the collection of waste from households and businesses by means 
of refuse bins, wheeled bins, containers, etc. It includes collection of non-hazardous and 
hazardous waste e.g. waste from households, used batteries, used cooking oils and fats, 
waste oil from ships and used oil from garages, as well as construction and demolition 
waste.",-,"non-hazardous waste collection, waste disposal services, rubbish removal, waste management, refuse collection, garbage pickup, trash collection, waste recycling services",,,,,
53,Waste Collection,,3811.95,Transport of Garbage Trucks,Roads and Transport Authority (RTA),PRE,Low,,,,"Includes collecting of garbage and non-hazardous waste from residential, commercial, industrial and public areas, and then transport and dispose them in specified disposal sites determined by concerned authorities, it includes all municipal waste except construction and demolition waste, organic and horticultural waste. ",-,"garbage truck transport, waste collection service, refuse transportation, trash pickup, waste disposal, garbage removal, municipal waste transport, rubbish collection",,,,,
54,Waste Collection,,3811.97,Construction and Demolition Waste Collection and Transportation Services,Roads and Transport Authority (RTA),PRE,Medium,,,,Includes collecting waste originating from construction and demolition activities and transport by special to disposal sites determined by concerned authorities. ,-,"construction waste collection, demolition debris removal, construction site waste transport, building waste disposal, demolition waste management, construction debris collection service, site cleanup services, waste transportation services",,,,,
55,Waste Collection,,3812,Collection of hazardous waste (Not available for selection),,,,,,,,-,"hazardous waste collection, toxic waste disposal, hazardous materials removal, dangerous waste pickup, waste management services, environmental waste collection, chemical waste disposal, biohazard waste removal",,,,,
56,Waste Collection,,3812.99,Hazardous Waste Collection & Transport,Roads and Transport Authority (RTA),PRE,Medium,,,,,-,"hazardous waste collection, hazardous materials transport, toxic waste disposal, dangerous goods transport, waste management services, chemical waste collection, industrial waste transport, environmental waste removal",,,,,
57,Maintenance,432,4321,"Electrical, plumbing and other installation activities",,N/A,Low,,,,"This group includes installation activities that support the functioning of a building as 
such, including installation of electrical systems, plumb",-,"electrical installation, plumbing services, building installation, electrical system setup, plumbing installation, HVAC installation, pipe fitting, electrical wiring",,,,,
58,Maintenance,,4321.93,"Radio, TV Station, Cinema, Theater Equipment Installation & Maintenance",,N/A,Low,,,,,-,"broadcast equipment installation, cinema sound system setup, theater lighting maintenance, radio station equipment service, TV broadcast support, film production equipment repair, audio-visual installation, media equipment maintenance",,,,,
59,Maintenance,,4321.94,Security Equipment Installation & Maintenance,Security Industry Regulatory Agency (SIRA),PRE,Medium,,,,"Includes installing security systems and equipment, such as security doors, metal detectors, thermal binoculars, and police specialized equipment, also, surveillance equipment such as observation cameras, anti-burglar, motion detectors, intercoms, alarms, access control, barrier gates, it involves repairing and maintaining such equipment.",-,"security system installation, surveillance equipment maintenance, alarm installation, access control systems, CCTV setup, intercom repair, security equipment service, motion detector installation",,,,,
60,Trading,451,4510,Sale Of Motor Vehicles,Ministry of Economy (MOE),PRE,Override,Yes ,,"Ministry of Economy approval required new vehicles only. Avoid giving the client the group activity as it requires approval from MOE. - MOE approval is needed for a showroom where the client walks in a views the cars and possibly purchases the car on locations, the client cannot have a showroom with our free zone license. - You can give the client all the activities from within the group that do not require MOE approval such as (used cars trading, used cars trading for export, new cars trading for export) - MOE approval is generally needed only for New Cars sold in the UAE. - If the client opts to obtain a warehouse they can do so with an NOC however the warehouse cannot be a showroom, and must be used for storage only. Expert Insights: Approval Requirements
MOE Pre-approval needed for
:
New car sales within UAE
Showroom operations
Walk-in customer sales
No approval needed for
:
Used car trading
Used cars for export
New cars for export
Client Guidance Strategy
Avoid group activity
: Automatically includes MOE approval requirement
Recommend specific activities
: Select non-approval activities from the group
Warehouse clarification
: ""Can get warehouse with NOC but cannot use as showroom - storageonly""
Banking & Operations
Storage solutions
: Contract with storage companies rather than renting warehouse
Sales platform
: List cars on Dubizzle or develop own platform
Showroom restriction
: ""If Dubai Municipality finds showroom setup in warehouse, you are fucked"" ","This class includes:
—wholesale and retail sale of new and used vehicles:
™ passenger motor vehicles, including specialized passenger motor vehicles such as 
ambulances and minibuses, etc.
™ lorries, trailers and semi-trailers
™ camping vehicles such as caravans and motor homes",-,"motor vehicle sales, car dealership, vehicle trading, wholesale car sales, used car dealership, passenger vehicle retail, automobile sales, new and used cars",,,,,
61,Trading,,4510.01,Wholesale And Retail Sale Of Unused And Used Vehicles,Ministry of Economy (MOE),PRE,Override,Yes,,Ministry of Economy approval required new vehicles only,,-,"vehicle wholesale, used cars sale, new vehicle dealership, auto trading, car import/export, vehicle retail, automobile sales, automotive wholesale",,,,,
62,Trading,,4510.02,"Wholesale And Retail Sale Of Off-Road Motor Vehicles (Jeeps, Etc.)",Ministry of Economy (MOE),PRE,Low,,,Ministry of Economy approval required new vehicles only,,-,"off-road vehicles wholesale, jeep retail, all-terrain vehicle sales, 4x4 vehicle trading, ATV retailer, off-road motor vehicle distributor, wholesale jeep dealer, outdoor vehicle sales",,,,,
63,Trading,,4510.03,Wholesale And Retail Sale By Commission Agents,,N/A,Low,,,,,-,"commission agents, wholesale agents, retail commission sales, agent for trade, trade brokers, merchandise sales by agents, wholesale trade representatives, retail sales agents",,,,,
64,Trading,,4510.86,Classic Cars Trading,,N/A,Override,Yes,,,"Includes selling older automobiles and which are distinguished by their respective fine design, high engineering standards and superior workmanship, the factors determine a car as a classic include engine displacement, custom coachwork and luxury accessories, power brakes, power clutch …etc.",-,"classic car sales, vintage automobile trading, classic vehicle dealership, retro car import/export, antique car retail, classic cars wholesale, luxury car trading, collector car sales",,,,,
65,Trading,,4510.87,Used Automobile Trading For Export,,N/A,Override,Yes,,,"Includes firms dealing in exporting used cars only, these firms are not allowed to open shops and sell cars directly to the public as the activity no. 51-4 “Used Automobile Trading”. ",-,"used car export, pre-owned vehicle trading, second-hand automobile export, used cars for sale overseas, export of used automobiles, wholesale used cars, international car trading, pre-owned vehicle export",,,,,
66,Trading,,4510.89,Specialized Vehicles Trading,,,Low,,,,"Includes reselling specialized motor vehicles including ambulances, fire engines, garbage collectors, street sweepers, truck- mounted cranes for loading and discharging and truck mixers it also includes food trucks, motor home (Caravan) and Damaged cars that cannot be registered and those affected by natural and other accidents.",-,"specialized vehicles trading, ambulance sales, fire truck trading, food truck dealership, street sweeper sales, truck-mounted crane import/export, motor home retail, damaged vehicle trading",,,,,
67,Trading,,4510.9,Electric Cars Trading,,,Low,,,,,-,"electric cars trading, electric vehicle sales, EV wholesale, electric car dealership, buy electric cars, import electric vehicles, retail electric vehicles, electric auto trading",,,,,
68,Trading,,4510.91,Specialized Vehicles For Safe Transport Trading,,N/A,Low,,,,Includes selling of vehicles fitted with protective accessories to allow for safe transport of people and valuables and hazardous materials.,-,"specialized vehicles, safe transport vehicles, protective transport vehicles, armored vehicles trading, secure transport solutions, vehicle import/export, wholesale vehicle trading, safety accessory vehicles",,,,,
69,Trading,,4510.93,Racing Cars Trading,Ministry of Economy (MOE),PRE,Low,,,Ministry of Economy approval required new vehicles only,"Includes reselling different racing cars, which are exclusively restricted to racing tracks.",-,"racing car sales, race car trading, motorsport vehicle resale, high-performance car dealer, racing vehicle import/export, racing cars wholesale, sports car retailer, track-only vehicle trading",,,,,
70,Trading,,4510.94,Used Luxury Automobiles Trading,,N/A,Override,Yes,, ,"Includes reselling used vehicles for passenger transportation, whether being used for short or long time and the used exhibition space must not be less than 5, square feet to conduct the activity.",-,"used luxury cars, pre-owned luxury vehicles, second-hand high-end automobiles, luxury car dealership, upscale auto trading, used luxury vehicle sales, premium car resale, luxury auto import/export",,,,,
71,Trading,,4510.95,New Automobile Trading For Export,,N/A,Low,,,,"Includes firms dealing in exporting new cars only, these firms are not allowed to open shops and sell cars directly to the public as the activity no. 45111 “New Motor Vehicles Trading”.",-,"new car export, automobile trading, vehicle export business, car trading for export, wholesale car export, new vehicle trading, auto export company, car exporting services",,,,,
72,Trading,,4510.96,Used Automobile Trading,,N/A,Override,Yes,,,"Includes reselling used vehicles for passenger transportation, whether being used for short or long time.",-,"used car sales, pre-owned vehicle trading, second-hand automobile dealership, used auto retail, vehicle resale, car trading business, import used cars, wholesale used vehicles",,,,,
73,Trading,,4510.97,Used Trucks Trading,,N/A,Override,Yes,,,"Includes reselling used trucks for transporting goods, building materials and liquid tankers…etc",-,"used trucks trading, second-hand trucks sale, pre-owned trucks dealer, truck wholesale, truck import/export, commercial vehicle trading, used vehicle marketplace, heavy-duty trucks resale",,,,,
74,Trading,452,4520,Maintenance And Repair Of Motor Vehicles,,N/A,Low,,,,,-,"vehicle maintenance, car repair services, auto repair shop, motor vehicle servicing, automotive repair, car maintenance, vehicle servicing, wholesale auto parts",,,,,
75,Trading,,4520.01,"Maintenance And Repair Of Motor Vehicles:
 • Mechanical Repairs
 • Electrical Repairs
 • Electronic Injection Systems Repair
 • Ordinary Servicing
 • Bodywork Repair
 • Repair Of Motor Vehicle Parts
 • Washing, Polishing, Etc.
 • Spraying And Painting
 • Repair Of Screens And Windows
 • Repair Of Motor Vehicle Seats",,N/A,Low,,,,,-,"Garage , Mechanic, Car repair, Auto fix, Vehicle service",,,,,
76,Trading,,4520.02,"Tyre And Tube Repair, Fitting Or Replacement",,N/A,Low,,,,,-,"Tyre change, Tube fix, Wheel replacement, Car repair",,,,,
77,Trading,,4520.03,Anti-Rust Treatment,,N/A,Low,,,,,-,"Garage , Mechanic, Car repair, Auto fix, Vehicle service",,,,,
78,Trading,,4520.04,Installation Of Parts And Accessories Not As Part Of The Manufacturing Process,,N/A,Low,,,,,-,"Garage , Mechanic, Car repair, Auto fix, Vehicle service",,,,,
79,Trading,,4520.86,Tyre Fixing & Wheel Alignment Services,,N/A,Low,,,,,-,"Tyre change, Tube fix, Wheel replacement, Car repair",,,,,
80,Trading,,4520.87,Car Washing & Cleaning,,N/A,Low,,,,"Includes firms engaged in different vehicles washing and cleaning services through immovable auto or manual washing stations, it involves cars, trucks, buses, motorcycles, these firms are allowed to sell the activity-related materials in non-commercial quantities.",-,"Car wash, Vehicle cleaning, Auto wash",,,,,
81,Trading,,4520.88,Auto Oil Change,,N/A,Low,,,,"Includes changing engine oil and other fluids which maintain the efficiency of the vehicle, such firms are allowed to sell the products relevant to the service provision, such as, grease and lubricants and liquids in non-commercial quantities",-,"Garage , Mechanic, Car repair, Auto fix, Vehicle service",,,,,
82,Trading,,4520.89,Auto Rust Proofing Services,,N/A,Low,,,,"Includes proofing cars with rust-resistant materials such as chrome, steel and others that protect them from corrosion and rust caused by external factors, these firms are allowed to sell the activity-related materials in non-commercial quantities.",-,"Garage , Mechanic, Car repair, Auto fix, Vehicle service",,,,,
83,Trading,,4520.91,Auto Exhaust Repair,,N/A,Low,,,,,-,"Garage , Mechanic, Car repair, Auto fix, Vehicle service",,,,,
84,Trading,,4520.93,Vehicles Upholstery Services,,N/A,Low,,,,"Includes providing vehicles seats with liners, springs, woven strips and covers in cloth or leather, these firms are allowed to sell activity-related materials in non-commercial quantities.",-,"vehicle upholstery, car seat covers, auto interior services, automotive upholstery, leather seat covers, upholstery repair, vehicle interior trade, car upholstery wholesale",,,,,
85,Trading,,4520.94,Auto Air-Condition Repair & Maintenance,,N/A,Low,,,,,-,"auto AC repair, car aircon maintenance, vehicle AC service",,,,,
86,Trading,,4520.95,Auto General Repair,,N/A,Low,,,,,-,"Garage , Mechanic, Car repair, Auto fix, Vehicle service",,,,,
87,Trading,,4520.96,Refrigerated Trailers Repair & Maintenance,,N/A,Low,,,,,-,"refrigerated trailer repair, reefer trailer maintenance, cold storage trailer service, trailer refrigeration repair, freezer trailer maintenance, refrigerated transport repair, trailer cooling system service, refrigerated unit repair",,,,,
88,Trading,,4520.97,Auto Phones Installation & Repair,,N/A,Low,,,,"Includes fitting mobile phones into automobiles, such firms are allowed to sell the activity-related materials in non-commercial quantities ",-,"auto phone installation, mobile phone repair, car phone fitting, vehicle phone accessories, automotive electronics trading, phone installation services, mobile device installation, car gadget repair",,,,,
89,Trading,,4520.98,Parking Car Washing,,N/A,Low,,,,"Includes firms engaged in car washing and cleaning manually or through specially equipped movable trolleys which carry out such services in In the parking lots of shopping centers, buildings, and public parking lots must approval of the competent authorities (Roads and Transport Authority) to practice this activity.",-,"car wash service, vehicle cleaning, parking lot car wash, mobile car washing, auto detailing, car cleaning service, wash cars at shopping centers, on-site car wash",,,,,
